"GONZALEZ, Francisco Javier",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,fgonzalez@legisrn.gov.ar
"HORNE, Silvia Reneé",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,shorne@legisrn.gov.ar
"LASTRA, Tania Tamara",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,tanialastra@legisrn.gov.ar
"LEDO, Ricardo",BLOQUE UNIDOS POR RIO NEGRO- Presidente -,rledo@legisrn.gov.ar
"LOPEZ, Facundo Manuel",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,flopez@legisrn.gov.ar
"LOPEZ, Héctor Rubén",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,hlopez@legisrn.gov.ar
"LUEIRO, Claudio Juan Javier",BLOQUE PARTIDO PROVINCIAL RIONEGRINO- Presidente -,clueiro@legisrn.gov.ar
"MARINAO, Humberto Alejandro",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,hmarinao@legisrn.gov.ar
"MENDIOROZ, Bautista José",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO- Presidente -,bmendioroz@legisrn.gov.ar
"MIGUEL, César",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,cmiguel@legisrn.gov.ar
"MILESI, Marta Silvia",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,mmilesi@legisrn.gov.ar
"OCAMPOS, Jorge Armando",BLOQUE PARTIDO COALICION CIVICA-ARI- Presidente -,jocampos@legisrn.gov.ar
"PAZ, Silvia Alicia",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,spaz@legisrn.gov.ar
"PEGA, Alfredo",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,apega@legisrn.gov.ar
"PEREIRA, Rosa Viviana",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,rpereira@legisrn.gov.ar
"PICCININI, Ana Ida",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,apiccinini@legisrn.gov.ar
"RECALT, Sandra Isabel",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,srecalt@legisrn.gov.ar
"RIVERO, Sergio Ariel",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,srivero@legisrn.gov.ar
"SGRABLICH, Lidia Graciela",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,lsgrablich@legisrn.gov.ar
"TORRES, Rubén Alfredo",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,rtorres@legisrn.gov.ar
"TOZZI, Leandro Miguel",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,ltozzi@legisrn.gov.ar
"URIA, Cristina Liliana",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,curia@legisrn.gov.ar
"VARGAS, Roberto Jorge",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,rvargas@legisrn.gov.ar
"VAZZANA, Carlos Antonio",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,cvazzana@legisrn.gov.ar
"VICIDOMINI, Angela Ana",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,avicidomini@legisrn.gov.ar
"VIDAL, Miguel Angel",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,mvidal@legisrn.gov.ar
